timestamp_ms,moduleID,motorID,currentSpeed,targetSpeed,PIDOutput,POutput,IOutput,DOutput
timestamp_ms,moduleID,motorID,currentSpeed,targetSpeed,PIDOutput,POutput,IOutput,DOutput
1748615901915,MOD1,13559,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901926,MOD1,13569,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901926,MOD1,13570,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901937,MOD1,13580,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901938,MOD1,13581,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901948,MOD1,13591,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901948,MOD1,13592,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901959,MOD1,13602,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901959,MOD1,13603,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901970,MOD1,13613,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901970,MOD1,13614,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901981,MOD1,13624,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901981,MOD1,13625,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615901992,MOD1,13635,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615901992,MOD1,13636,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902006,MOD1,13646,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902007,MOD1,13647,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902014,MOD1,13657,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902014,MOD1,13658,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902026,MOD1,13668,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902026,MOD1,13669,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902037,MOD1,13679,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902037,MOD1,13680,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902047,MOD1,13690,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902048,MOD1,13691,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902058,MOD1,13701,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902058,MOD1,13702,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902069,MOD1,13712,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902069,MOD1,13713,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902080,MOD1,13723,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902081,MOD1,13724,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902091,MOD1,13734,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902096,MOD1,13735,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902102,MOD1,13745,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902103,MOD1,13746,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902114,MOD1,13756,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902115,MOD1,13757,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902124,MOD1,13767,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902125,MOD1,13768,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902135,MOD1,13778,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902135,MOD1,13779,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902148,MOD1,13789,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902148,MOD1,13790,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902157,MOD1,13800,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902158,MOD1,13801,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902168,MOD1,13811,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902169,MOD1,13812,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902179,MOD1,13822,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902179,MOD1,13823,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902191,MOD1,13833,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902191,MOD1,13834,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902200,MOD1,13844,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902202,MOD1,13845,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902212,MOD1,13855,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902218,MOD1,13856,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902223,MOD1,13866,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902224,MOD1,13867,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902235,MOD1,13877,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902235,MOD1,13878,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902245,MOD1,13888,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902246,MOD1,13889,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902257,MOD1,13899,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902257,MOD1,13900,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902267,MOD1,13910,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902268,MOD1,13911,12,0.00,0.00,0.00,0.00,0.00,0.00
1748615902278,MOD1,13921,10,0.00,0.00,0.00,0.00,0.00,0.00
1748615902278,MOD1,13922,12,0.00,0.00,0.00,0.00,0.00,0.00
